true_label,predicted_label,error_type,count
BENIGN,PortScan,BENIGN -> PortScan,196
PortScan,BENIGN,PortScan -> BENIGN,135
Bot,BENIGN,Bot -> BENIGN,91
BENIGN,DoS,BENIGN -> DoS,67
DoS,BENIGN,DoS -> BENIGN,59
BENIGN,Bot,BENIGN -> Bot,39
DDoS,BENIGN,DDoS -> BENIGN,14
WebAttack,BENIGN,WebAttack -> BENIGN,11
PortScan,DoS,PortScan -> DoS,6
PortScan,WebAttack,PortScan -> WebAttack,5
BruteForce,BENIGN,BruteForce -> BENIGN,3
Infiltration,BENIGN,Infiltration -> BENIGN,3
WebAttack,DoS,WebAttack -> DoS,3
BENIGN,WebAttack,BENIGN -> WebAttack,2
BENIGN,DDoS,BENIGN -> DDoS,1
DoS,PortScan,DoS -> PortScan,1
