feature,importance
Destination Port,0.0609053390450389
Max Packet Length,0.0605679299689631
Init_Win_bytes_forward,0.055360946704338374
Average Packet Size,0.049682324121298
Min Packet Length,0.04499948405524193
Init_Win_bytes_backward,0.043206871064876785
Packet Length Std,0.04144174600584646
Bwd Packet Length Min,0.0398235705484358
Packet Length Variance,0.03666894363829362
Fwd Packet Length Mean,0.03371944505414616
Bwd Packet Length Std,0.02821997936270129
Subflow Fwd Bytes,0.02660015123853743
Fwd Packet Length Min,0.026552635765875767
Avg Bwd Segment Size,0.02582806870115256
Bwd Packet Length Max,0.025639152361789857
Avg Fwd Segment Size,0.025396234858919533
Fwd Packet Length Max,0.02284798162559308
Fwd Header Length.1,0.021983949850049565
Fwd Header Length,0.020997204791065375
Bwd Header Length,0.017760151758978455
